"date","state","value"
2020-01-01,"IA",186328.2
2021-01-01,"IA",201147.1
2022-01-01,"IA",201580.4
2023-01-01,"IA",202051.4
2024-01-01,"IA",201096.8
2005-01-01,"KS",129588.2
2006-01-01,"KS",136135.8
2007-01-01,"KS",143586.6
2008-01-01,"KS",147265
2009-01-01,"KS",141902.5
2010-01-01,"KS",143870.1
2011-01-01,"KS",147836.8
2012-01-01,"KS",150077.1
2013-01-01,"KS",150702.9
2014-01-01,"KS",154110.1
2015-01-01,"KS",158602.6
2016-01-01,"KS",164643.7
2017-01-01,"KS",166273.6
2018-01-01,"KS",169796.9
2019-01-01,"KS",169562.3
2020-01-01,"KS",168056.9
2021-01-01,"KS",172782.4
2022-01-01,"KS",177470.2
2023-01-01,"KS",183795.6
2024-01-01,"KS",185721
2005-01-01,"KY",182017.9
2006-01-01,"KY",186332.7
2007-01-01,"KY",185790.1
2008-01-01,"KY",186516
2009-01-01,"KY",178112.9
2010-01-01,"KY",186720.6
2011-01-01,"KY",188389.8
2012-01-01,"KY",192060.2
2013-01-01,"KY",196698.1
2014-01-01,"KY",196795.8
2015-01-01,"KY",199487.1
2016-01-01,"KY",201007.2
2017-01-01,"KY",203564
2018-01-01,"KY",205940.1
2019-01-01,"KY",211783.1
2020-01-01,"KY",206049.6
2021-01-01,"KY",215133.2
2022-01-01,"KY",219755.6
2023-01-01,"KY",224418
2024-01-01,"KY",229885.4
2005-01-01,"LA",249560.9
2006-01-01,"LA",247139.7
2007-01-01,"LA",234216.4
2008-01-01,"LA",237061.6
2009-01-01,"LA",241868.8
2010-01-01,"LA",253466.9
2011-01-01,"LA",241235.9
2012-01-01,"LA",242416.9
2013-01-01,"LA",236482.3
2014-01-01,"LA",243042.9
2015-01-01,"LA",239584.2
2016-01-01,"LA",235554.2
2017-01-01,"LA",239830.7
2018-01-01,"LA",245220.3
2019-01-01,"LA",246674.5
2020-01-01,"LA",228951.3
2021-01-01,"LA",237839.2
2022-01-01,"LA",236854.1
2023-01-01,"LA",248615.5
2024-01-01,"LA",256422.3
2005-01-01,"ME",59589.7
2006-01-01,"ME",59986
2007-01-01,"ME",60032.7
2008-01-01,"ME",59845.1
2009-01-01,"ME",58771.9
2010-01-01,"ME",59958.6
2011-01-01,"ME",59429.7
2012-01-01,"ME",59181.7
2013-01-01,"ME",59014
2014-01-01,"ME",59589.8
2015-01-01,"ME",60563
2016-01-01,"ME",62037.1
2017-01-01,"ME",63000.6
2018-01-01,"ME",64806.3
2019-01-01,"ME",66758.4
2020-01-01,"ME",67410.9
2021-01-01,"ME",71142.4
2022-01-01,"ME",73036.2
2023-01-01,"ME",75195.4
2024-01-01,"ME",77477.5
2005-01-01,"MD",325644.5
2006-01-01,"MD",329874
2007-01-01,"MD",331763.5
2008-01-01,"MD",338165.4
2009-01-01,"MD",336285.8
2010-01-01,"MD",352622.9
2011-01-01,"MD",360155.9
2012-01-01,"MD",361561.8
2013-01-01,"MD",364633.3
2014-01-01,"MD",370344
2015-01-01,"MD",378745.9
2016-01-01,"MD",391951
2017-01-01,"MD",399714.5
2018-01-01,"MD",402480.9
2019-01-01,"MD",402506.3
2020-01-01,"MD",388782.8
2021-01-01,"MD",406953.1
2022-01-01,"MD",416406.2
2023-01-01,"MD",422866.3
2024-01-01,"MD",432192.7
2005-01-01,"MA",417075.6
2006-01-01,"MA",426926.1
2007-01-01,"MA",440373.9
2008-01-01,"MA",447526.8
2009-01-01,"MA",441307.6
2010-01-01,"MA",462330.8
2011-01-01,"MA",472664.3
2012-01-01,"MA",483286.3
2013-01-01,"MA",486991.8
2014-01-01,"MA",496250.9
2015-01-01,"MA",514398.8
2016-01-01,"MA",521662.8
2017-01-01,"MA",530129.5
2018-01-01,"MA",549262.1
2019-01-01,"MA",566326.8
2020-01-01,"MA",559765
2021-01-01,"MA",595911.8
2022-01-01,"MA",608052.9
2023-01-01,"MA",615504.5
2024-01-01,"MA",633617.6
