"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes"
2018,"AZ",7164.228,4.8,29.7,346398.3,"Arizona",1,2021,2021,2021,1,1,0,""
2018,"CA",39437.463,4.3,34.2,2850970.3,"California",0,NA,NA,NA,0,0,0,""
2018,"CO",5697.155,3,41.7,365204.5,"Colorado",1,2019,2020,2020,1,1,0,""
2018,"CT",3574.561,3.9,39.6,274582.8,"Connecticut",1,2021,2021,2021,1,1,0,""
2018,"DE",966.985,3.7,31.3,70856.5,"Delaware",1,2018,2018,2018,1,1,0,""
2018,"FL",21254.926,3.6,30.4,1050433.8,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations"
2018,"GA",10519.389,4,31.9,600934.7,"Georgia",0,NA,NA,NA,0,0,0,""
2018,"HI",1423.102,2.4,33.5,88836.4,"Hawaii",0,NA,NA,NA,0,0,0,""
2018,"IA",3149.9,2.6,29,189245.1,"Iowa",1,2019,2019,2019,1,1,0,""
2018,"ID",1752.074,2.9,27.7,77652.1,"Idaho",0,NA,NA,NA,0,0,0,""
2018,"IL",12724.685,4.4,35.1,851517.2,"Illinois",1,2019,2020,2020,1,1,0,""
2018,"IN",6698.481,3.4,27.1,368762.9,"Indiana",1,2019,2019,2019,1,1,0,""
2018,"KS",2912.748,3.3,33.8,169796.9,"Kansas",1,2022,2022,2022,1,1,0,""
2018,"KY",4464.273,4.2,24.8,205940.1,"Kentucky",1,2023,2023,2023,1,1,0,""
2018,"LA",4664.45,4.8,24.3,245220.3,"Louisiana",1,2021,2021,2022,1,1,0,""
2018,"MA",6885.72,3.5,44.5,549262.1,"Massachusetts",1,2022,2023,2023,1,1,0,""
2018,"MD",6042.153,3.8,40.8,402480.9,"Maryland",1,2021,2021,2021,1,1,0,""
2018,"ME",1340.123,3.2,31.5,64806.3,"Maine",1,2022,2023,2023,1,1,0,""
2018,"MI",9987.286,4.2,29.6,516843,"Michigan",1,2019,2020,2021,1,1,0,""
2018,"MN",5608.762,3,36.7,364799.7,"Minnesota",0,NA,NA,NA,0,0,0,""
2018,"MO",6125.986,3.2,29.5,314182.4,"Missouri",0,NA,NA,NA,0,0,0,""
2018,"MS",2982.879,4.9,23.2,110174.8,"Mississippi",1,2017,2017,NA,0,1,0,""
2018,"MT",1061.818,3.7,31.7,49455,"Montana",1,2019,2019,NA,0,1,0,""
2018,"NC",10391.358,4,31.9,556573.7,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal"
2018,"ND",760.062,2.4,29.7,58516.3,"North Dakota",1,2018,2018,2018,0,1,1,""
2018,"NE",1925.512,2.9,32.4,125543.5,"Nebraska",1,2021,2021,NA,0,1,0,""
2018,"NH",1355.064,2.6,36.8,82269.5,"New Hampshire",1,2019,2019,2019,1,1,0,""
2018,"NJ",8891.73,4,40.8,606892.2,"New Jersey",1,2018,2018,2018,1,1,0,""
2018,"NM",2093.754,4.9,27.7,96077,"New Mexico",1,2018,2018,NA,0,1,1,""
2018,"NV",3030.725,4.4,24.9,168638.5,"Nevada",1,1949,1949,2010,1,1,0,""
2018,"NY",19544.098,4.1,37.2,1665186.8,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/"
2018,"OH",11680.892,4.5,29,656212,"Ohio",1,2021,2021,2021,1,1,0,""
2018,"OK",3943.488,3.3,25.6,196030.5,"Oklahoma",0,NA,NA,NA,0,0,0,""
2018,"OR",4183.538,4,34,234308.4,"Oregon",1,2019,2019,2019,1,1,0,""
2018,"PA",12809.107,4.4,31.8,763855.4,"Pennsylvania",1,2017,2017,2017,1,1,0,""
2018,"RI",1059.338,4.1,34.4,58740.2,"Rhode Island",1,2018,2018,2019,1,1,0,""
2018,"SC",5091.702,3.4,28.3,231663.3,"South Carolina",0,NA,NA,NA,0,0,0,""
2018,"SD",879.386,2.8,29.2,51937.8,"South Dakota",1,2021,2021,NA,0,1,0,""
2018,"TN",6778.18,3.5,27.5,362363.7,"Tennessee",1,2019,NA,2019,1,0,0,""
2018,"TX",28624.564,3.9,30.3,1746543.3,"Texas",0,NA,NA,NA,0,0,0,""
2018,"UT",3155.153,2.9,34.9,182106,"Utah",0,NA,NA,NA,0,0,0,""
2018,"VA",8510.92,3,39.3,527767.5,"Virginia",1,2020,2020,2020,1,1,0,""
2018,"VT",624.802,2.5,38.7,32827.8,"Vermont",1,2023,NA,2023,1,0,0,""
2018,"WA",7526.793,4.4,36.7,561785.7,"Washington",1,2020,2020,NA,0,1,1,"tribal-only"
2018,"WI",5809.319,3,30,328832.4,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only"
2018,"WV",1805.953,5.1,21.3,77406.5,"West Virginia",1,2018,2018,2018,1,1,0,""
2018,"WY",579.054,4.1,26.9,37977.2,"Wyoming",1,2021,2021,2021,1,1,0,""
2019,"AK",733.603,5.6,30.2,52377.5,"Alaska",0,NA,NA,NA,0,0,0,""
2019,"AL",4907.965,3.2,26.3,225272.8,"Alabama",0,NA,NA,NA,0,0,0,""
2019,"AR",3020.985,3.5,23.3,127220,"Arkansas",1,2018,2019,2022,1,1,0,""
2019,"AZ",7291.843,4.8,30.2,359576.8,"Arizona",1,2021,2021,2021,1,1,0,""
2019,"CA",39437.61,4.1,35,2969609,"California",0,NA,NA,NA,0,0,0,""
2019,"CO",5758.486,2.7,42.7,383725.7,"Colorado",1,2019,2020,2020,1,1,0,""
2019,"CT",3566.022,3.6,39.8,275225.4,"Connecticut",1,2021,2021,2021,1,1,0,""
